code	applied_lots_for_one_lot	chg_on_debut	lot_size	one_lot_success_rate	over_sub_rate	ipo_price_range_ratio	total_value_mid	industry_印刷及包装	industry_基建	industry_商用交通工具	industry_医疗器械及服务	industry_物业管理及代理	industry_食品添加剂及调味料	industry_石油及天然气	industry_煤炭	industry_燃气供应	industry_半导体	industry_超市/百货/商城	industry_汽车及零部件	industry_替代能源	industry_建筑材料	industry_投资及资产管理	industry_证券	industry_服饰配件及皮革	industry_电讯服务	industry_房地产投资信托基金	industry_生物科技	industry_电气设备	industry_工业用品	industry_旅游及观光	industry_系统开发及信息科技顾问	industry_广告	industry_其他金融	industry_影视娱乐	industry_公路及铁路	industry_家用电器	industry_钟表珠宝	industry_酒店及度假村	industry_地产投资	industry_纺织及制衣	industry_电子消费品	industry_石油天然气设备及服务	industry_服装	industry_包装食品	industry_钢铁	industry_电子商贸及互联网服务	industry_药品	industry_电子元器件	industry_家具及家居用品	industry_贵金属	industry_机械装备及器材	industry_软件开发	industry_烟酒	industry_农畜渔产品	industry_其他支援服务	industry_环保	industry_乳制品	industry_有色金属	industry_航运及港务	industry_供电供热	industry_地产发展	industry_其他矿物	industry_餐饮	industry_玩具	industry_化工产品	industry_银行	industry_建筑及装修	industry_出版传媒	industry_汽车零售及维护维修	industry_美容及个人护理	industry_仓储物流	industry_水务供应	sponsor_建泉融资有限公司	sponsor_香江资本有限公司	sponsor_野村国际(香港)有限公司	sponsor_德健融资有限公司	sponsor_富强金融资本有限公司	sponsor_中国国际金融香港证券有限公司	sponsor_华泰金融控股（香港）有限公司	sponsor_农银国际融资有限公司	sponsor_丰盛融资有限公司	sponsor_中州国际融资有限公司	sponsor_国泰君安融资有限公司	sponsor_创越融资有限公司	sponsor_J.P. Morgan Securities (Far East) Limited	sponsor_复星恒利证券有限公司	sponsor_方正证券(香港)融资有限公司	sponsor_英皇融资有限公司	sponsor_东兴证券(香港)有限公司	sponsor_国信证券(香港)融资有限公司	sponsor_创侨国际有限公司	sponsor_华泰金融控股(香港)有限公司	sponsor_交银国际(亚洲)有限公司	sponsor_UBS Securities Hong Kong Limited	sponsor_均富融资有限公司	sponsor_申万宏源融资(香港)有限公司	sponsor_中信建投(国际)融资有限公司	sponsor_中泰国际融资有限公司	sponsor_八方金融有限公司	sponsor_HSBC Corporate Finance (Hong Kong) Limited	sponsor_络绎资本有限公司	sponsor_建银国际金融有限公司	sponsor_域高融资有限公司	sponsor_西证(香港)融资有限公司	sponsor_法国巴黎证券(亚洲)有限公司	sponsor_滙富融资有限公司	sponsor_富瑞金融集团香港有限公司	sponsor_英高财务顾问有限公司	sponsor_东方融资(香港)有限公司	sponsor_汇富融资有限公司	sponsor_海通国际资本有限公司	sponsor_浩德融资有限公司	sponsor_中国光大融资有限公司	sponsor_高盛(亚洲)有限责任公司	sponsor_瑞士信贷(香港)有限公司	sponsor_红日资本有限公司	sponsor_浦银国际融资有限公司	sponsor_创升融资有限公司	sponsor_华高和升财务顾问有限公司	sponsor_脉搏资本有限公司	sponsor_工银国际融资有限公司	sponsor_智富融资有限公司	sponsor_广发融资(香港)有限公司	sponsor_光银国际资本有限公司	sponsor_富比资本有限公司	sponsor_竤信国际有限公司	sponsor_大有融资有限公司	sponsor_第一上海融资有限公司	sponsor_Credit Suisse (Hong Kong) Limited	sponsor_国金证券(香港)有限公司	sponsor_花旗环球金融亚洲有限公司	sponsor_麦格理资本股份有限公司	sponsor_信达国际融资有限公司	sponsor_兴业金融融资有限公司	sponsor_RaffAello Capital Limited	sponsor_博思融资有限公司	sponsor_同人融资有限公司	sponsor_南华融资有限公司	sponsor_力高企业融资有限公司	sponsor_摩根士丹利亚洲有限公司	sponsor_长雄证券有限公司	sponsor_中毅资本有限公司	sponsor_鼎佩证券有限公司	sponsor_中银国际亚洲有限公司	sponsor_TUS Corporate Finance Limited	sponsor_招商证券(香港)有限公司	sponsor_茂宸环球资本有限公司	sponsor_千里硕融资有限公司	sponsor_兴证国际融资有限公司	sponsor_民银资本有限公司	sponsor_招银国际融资有限公司	sponsor_德意志证券亚洲有限公司	sponsor_星展亚洲融资有限公司	sponsor_华邦融资有限公司	sponsor_天泰金融服务有限公司	sponsor_Merrill Lynch Far East Limited	sponsor_安信融资(香港)有限公司	sponsor_中国银河国际证券(香港)有限公司	sponsor_中信里昂证券资本市场有限公司
00667.HK	1.0	-0.11821999999999999	500.0	1.0	0.0	0.22302810516772428	2.4034499999999997e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00780.HK	1.0	0.26531	400.0	1.0	1.7	0.25892857142857145	2.3014499999999997e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
00780.HK	1.0	0.26531	400.0	1.0	1.7	0.25892857142857145	2.3014499999999997e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
00788.HK	1.0	0.0	2000.0	1.0	0.4	0.2253521126760564	2.448925e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00788.HK	1.0	0.0	2000.0	1.0	0.4	0.2253521126760564	2.448925e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00797.HK	1.0	-0.02	2000.0	1.0	0.0	0.3870967741935485	4.96e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00797.HK	1.0	-0.02	2000.0	1.0	0.0	0.3870967741935485	4.96e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00924.HK	25.0	1.32	8000.0	0.068	12.4	0.18181818181818177	5.5e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00924.HK	25.0	1.32	8000.0	0.068	12.4	0.18181818181818177	5.5e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01025.HK	125.0	0.08163000000000001	4000.0	0.486	18.3	0.25	5.824999999999999e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01034.HK	11.0	0.4375	8000.0	0.26	11.4	0.060606060606060656	5.28e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01034.HK	11.0	0.4375	8000.0	0.26	11.4	0.060606060606060656	5.28e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01073.HK	1.0	-0.05769	5000.0	1.0	2.9	0.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01084.HK	1.0	0.16379000000000002	2000.0	1.0	0.6	0.4000000000000001	1.16e-08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
01084.HK	1.0	0.16379000000000002	2000.0	1.0	0.6	0.4000000000000001	1.16e-08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
01119.HK	10.0	-0.08635999999999999	400.0	0.35	11.6	0.26086956521739124	8.761000000000001e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
01119.HK	10.0	-0.08635999999999999	400.0	0.35	11.6	0.26086956521739124	8.761000000000001e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
